Comando,String,Atribuir,CondicaoSub,CondicaoMain
DEFINIR,meu,Tipo=Possessivo,PronType=Prs,
DEFINIR,meus,Tipo=Possessivo,PronType=Prs,
DEFINIR,minha,Tipo=Possessivo,PronType=Prs,
DEFINIR,minhas,Tipo=Possessivo,PronType=Prs,
DEFINIR,teu,Tipo=Possessivo,PronType=Prs,
DEFINIR,teus,Tipo=Possessivo,PronType=Prs,
DEFINIR,tua,Tipo=Possessivo,PronType=Prs,
DEFINIR,tuas,Tipo=Possessivo,PronType=Prs,
DEFINIR,seu,Tipo=Possessivo,PronType=Prs,
DEFINIR,seus,Tipo=Possessivo,PronType=Prs,
DEFINIR,sua,Tipo=Possessivo,PronType=Prs,
DEFINIR,suas,Tipo=Possessivo,PronType=Prs,
DEFINIR,nosso,Tipo=Possessivo,PronType=Prs,
DEFINIR,nossos,Tipo=Possessivo,PronType=Prs,
DEFINIR,nossa,Tipo=Possessivo,PronType=Prs,
DEFINIR,nossas,Tipo=Possessivo,PronType=Prs,
DEFINIR,vosso,Tipo=Possessivo,PronType=Prs,
DEFINIR,vossos,Tipo=Possessivo,PronType=Prs,
DEFINIR,vossa,Tipo=Possessivo,PronType=Prs,
DEFINIR,vossas,Tipo=Possessivo,PronType=Prs,
DEFINIR,dele,Tipo=Possessivo,PronType=Prs,
DEFINIR,deles,Tipo=Possessivo,PronType=Prs,
DEFINIR,dela,Tipo=Possessivo,PronType=Prs,
DEFINIR,delas,Tipo=Possessivo,PronType=Prs,
DEFINIR,eu,Tipo=Pessoal,PronType=Prs,
DEFINIR,tu,Tipo=Pessoal,PronType=Prs,
DEFINIR,você,Tipo=Pessoal,PronType=Prs,
DEFINIR,ele,Tipo=Pessoal,PronType=Prs,
DEFINIR,eles,Tipo=Pessoal,PronType=Prs,
DEFINIR,ela,Tipo=Pessoal,PronType=Prs,
DEFINIR,elas,Tipo=Pessoal,PronType=Prs,
DEFINIR,nós,Tipo=Pessoal,PronType=Prs,
DEFINIR,vós,Tipo=Pessoal,PronType=Prs,
DEFINIR,vocês,Tipo=Pessoal,PronType=Prs,
DEFINIR,me,Tipo=Pessoal,PronType=Prs,
DEFINIR,mim,Tipo=Pessoal,PronType=Prs,
DEFINIR,te,Tipo=Pessoal,PronType=Prs,
DEFINIR,ti,Tipo=Pessoal,PronType=Prs,
DEFINIR,lhe,Tipo=Pessoal,PronType=Prs,
DEFINIR,lhes,Tipo=Pessoal,PronType=Prs,
DEFINIR,nos,Tipo=Pessoal,PronType=Prs,
DEFINIR,vos,Tipo=Pessoal,PronType=Prs,
DEFINIR,o,Tipo=Pessoal,PronType=Prs,
DEFINIR,a,Tipo=Pessoal,PronType=Prs,
DEFINIR,os,Tipo=Pessoal,PronType=Prs,
DEFINIR,as,Tipo=Pessoal,PronType=Prs,
DEFINIR,a gente,Tipo=Pessoal,PronType=Prs,
DEFINIR,se,Tipo=Pessoal,PronType=Prs,
DEFINIR,comigo,Tipo=Pessoal,PronType=Prs,
DEFINIR,contigo,Tipo=Pessoal,PronType=Prs,
DEFINIR,consigo,Tipo=Pessoal,PronType=Prs,
DEFINIR,conosco,Tipo=Pessoal,PronType=Prs,
DEFINIR,convosco,Tipo=Pessoal,PronType=Prs,
OCULTAR,eu,,Gender,PRON&DET
OCULTAR,tu,,Gender,PRON&DET
OCULTAR,você,,Gender,PRON&DET
OCULTAR,nós,,Gender,PRON&DET
OCULTAR,vós,,Gender,PRON&DET
OCULTAR,vocês,,Gender,PRON&DET
OCULTAR,me,,Gender,PRON&DET
OCULTAR,mim,,Gender,PRON&DET
OCULTAR,te,,Gender,PRON&DET
OCULTAR,ti,,Gender,PRON&DET
OCULTAR,se,,Gender,PRON&DET
OCULTAR,lhe,,Gender,PRON&DET
OCULTAR,lhes,,Gender,PRON&DET
OCULTAR,nos,,Gender,PRON&DET
OCULTAR,vos,,Gender,PRON&DET
OCULTAR,a gente,,Gender,PRON&DET
OCULTAR,se,,Gender,PRON&DET
OCULTAR,comigo,,Gender,PRON&DET
OCULTAR,contigo,,Gender,PRON&DET
OCULTAR,consigo,,Gender,PRON&DET
OCULTAR,conosco,,Gender,PRON&DET
OCULTAR,convosco,,Gender,PRON&DET
